"name","slug","desc","totRating","avgRating","totLearningMentorshipRating","avgLearningMentorshipRating","totMeaningfulWorkRating","avgMeaningfulWorkRating","totWorkLifeBalanceRating","avgWorkLifeBalanceRating","logoSrc","uniqueIdentifier","numRatings"
"Lyft","lyft","Lyft is reconnecting people and communities through better transportation.",10,"5.0",10,"5.0",8,"4.0",8,"4.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1471675558/askhfejxe55hdmpjdctf.jpg","c26",2
"The Home Depot","the-home-depot",,4,"4.0",5,"5.0",4,"4.0",5,"5.0",,"c339",1
"Coursera","coursera","Coursera is an education platform that partners with top universities worldwide, to offer courses online for anyone to take.",42,"4.7",44,"4.9",42,"4.7",41,"4.6","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1458008748/shcavckxmbexuc9j3pai.png","c11",9
"Electronic Arts (EA)","electronic-arts-ea",,0,"0.0",0,"0.0",0,"0.0",0,"0.0",,"c262",0
"Adknown","adknown",,5,"5.0",4,"4.0",5,"5.0",5,"5.0",,"c346",1
"Citadel","citadel",,0,"0.0",0,"0.0",0,"0.0",0,"0.0",,"c263",0
"Morgan Stanley","morgan-stanley",,0,"0.0",0,"0.0",0,"0.0",0,"0.0",,"c264",0
"Varicent","varicent","Varicent, an IBM Company is a global pioneer in Incentive Compensation and Sales Performance Management that delivers innovative, industry-leading solutions for finance, sales, human resources and IT departments in high-performing companies across industries.",10,"3.3",13,"4.3",8,"2.7",13,"4.3","https://media.glassdoor.com/sqll/364752/varicent-software-squarelogo.png","c131",3
"Clio","clio",,0,"0.0",0,"0.0",0,"0.0",0,"0.0",,"c265",0
"Independent Electricity System Operator","independent-electricity-system-operator",,4,"4.0",4,"4.0",3,"3.0",5,"5.0",,"c324",1
"Ubisoft","ubisoft",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c353",1
"Sandvine","sandvine","",11,"3.7",7,"2.3",12,"4.0",15,"5.0","https://www.sandvine.com/images/og_images/sandvine_square.png","c183",3
"Watrhub","watrhub","WatrHub is a data and analytics company that delivers market intelligence for the water industry.",5,"5.0",5,"5.0",4,"4.0",5,"5.0","https://crunchbase-production-res.cloudinary.com/image/upload/c_pad,h_140,w_140/v1397191267/58e96d1dfc662add8be89d7aaee1d6b1.png","c73",1
"NASA -  Goddard Space Flight Center","nasa-goddard-space-flight-center",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c210",1
"Eventbrite","eventbrite","",8,"4.0",8,"4.0",8,"4.0",10,"5.0","https://crunchbase-production-res.cloudinary.com/image/upload/c_pad,h_140,w_140/v1461878332/mmkojrne8qfuuner3er4.jpg","c81",2
"Healthcare of Ontario Pension Plan","healthcare-of-ontario-pension-plan","",1,"1.0",1,"1.0",1,"1.0",1,"1.0","https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAk9AAAAJDc5YWRmYTgyLWQxY2YtNDU2Yy05NWNlLTFkMGJhZmM2M2Q3Mw.png","c86",1
